"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяем, что текст каждого ответа на вопрос совпадает с ожидаемым","2545","Тесты на проверку ответов на вопросы на главной странице","tests","Tue Jun 10 10:46:43 YEKT 2025","passed","Tue Jun 10 10:46:46 YEKT 2025","TestMainPage","test_main_page","",""
"Проверяем полный цикл создания заказа на 2 наборах тестовых данных","6400","Тесты на проверку создания заказа","tests","Tue Jun 10 10:48:54 YEKT 2025","passed","Tue Jun 10 10:49:00 YEKT 2025","TestOrderPage","test_order_page","",""
"Проверяем, что текст каждого ответа на вопрос совпадает с ожидаемым","2625","Тесты на проверку ответов на вопросы на главной странице","tests","Tue Jun 10 10:46:06 YEKT 2025","passed","Tue Jun 10 10:46:09 YEKT 2025","TestMainPage","test_main_page","",""
"Проверяем, что при клике на лого Самоката происходит переход на главную Яндекс.Самокат","2182","Тест на проверку перехода по лого Яндекс.Самокат","tests","Tue Jun 10 10:49:41 YEKT 2025","passed","Tue Jun 10 10:49:43 YEKT 2025","TestTransitionPage","test_transition_page","",""
"Проверяем, что текст каждого ответа на вопрос совпадает с ожидаемым","2338","Тесты на проверку ответов на вопросы на главной странице","tests","Tue Jun 10 10:45:54 YEKT 2025","passed","Tue Jun 10 10:45:56 YEKT 2025","TestMainPage","test_main_page","",""
"Проверяем, что текст каждого ответа на вопрос совпадает с ожидаемым","2526","Тесты на проверку ответов на вопросы на главной странице","tests","Tue Jun 10 10:46:56 YEKT 2025","passed","Tue Jun 10 10:46:58 YEKT 2025","TestMainPage","test_main_page","",""
"Проверяем, что при клике на лого Яндекса происходит переход на главную Яндекс.Дзен","3817","Тест на проверку перехода по лого Яндекс","tests","Tue Jun 10 10:49:27 YEKT 2025","passed","Tue Jun 10 10:49:30 YEKT 2025","TestTransitionPage","test_transition_page","",""
"Проверяем полный цикл создания заказа на 2 наборах тестовых данных","6274","Тесты на проверку создания заказа","tests","Tue Jun 10 10:48:38 YEKT 2025","passed","Tue Jun 10 10:48:44 YEKT 2025","TestOrderPage","test_order_page","",""
"Проверяем, что текст каждого ответа на вопрос совпадает с ожидаемым","2573","Тесты на проверку ответов на вопросы на главной странице","tests","Tue Jun 10 10:46:18 YEKT 2025","passed","Tue Jun 10 10:46:21 YEKT 2025","TestMainPage","test_main_page","",""
"Проверяем, что текст каждого ответа на вопрос совпадает с ожидаемым","2522","Тесты на проверку ответов на вопросы на главной странице","tests","Tue Jun 10 10:45:42 YEKT 2025","passed","Tue Jun 10 10:45:44 YEKT 2025","TestMainPage","test_main_page","",""
"Проверяем, что текст каждого ответа на вопрос совпадает с ожидаемым","2846","Тесты на проверку ответов на вопросы на главной странице","tests","Tue Jun 10 10:45:29 YEKT 2025","passed","Tue Jun 10 10:45:31 YEKT 2025","TestMainPage","test_main_page","",""
"Проверяем, что текст каждого ответа на вопрос совпадает с ожидаемым","2285","Тесты на проверку ответов на вопросы на главной странице","tests","Tue Jun 10 10:46:31 YEKT 2025","passed","Tue Jun 10 10:46:33 YEKT 2025","TestMainPage","test_main_page","",""
